message,label
"Hey, are we still meeting at 6 tonight?",ham
"Your appointment is confirmed for tomorrow at 10 AM.",ham
"Please send me the project notes when you get home.",ham
"Can you call me after class?",ham
"The package will arrive between 2 and 4 PM.",ham
"Happy birthday! Hope you have a great day.",ham
"Your verification code is 482913. Do not share it.",spam
"Congratulations! You won a cash prize. Click this link to claim now.",spam
"URGENT: Your account will be closed. Verify your details at this website.",spam
"You have been selected for a free gift. Reply WIN to receive it.",spam
"Claim your exclusive reward by sending your bank details today.",spam
"You qualify for a guaranteed loan. Pay a small fee to unlock it.",spam
